Station,StationNum,Date,Time,Lat,Lat2,Long,Long2,Depth,Comment
01P,1,17.07.2018,10:20:00,21° 53.267' N,21.88778333,159° 31.572' W,-159.5262,2.1 m,8-12 knt NE wind
02P,2,17.07.2018,10:40:00,21° 53.259' N,21.88765,159° 31.615' W,-159.5269167,5.2 m,
03P,3,17.07.2018,11:00:00,21° 53.220' N,21.887,159° 31.630' W,-159.5271667,6.7 m,
04P,4,17.07.2018,11:15:00,21° 53.223' N,21.88705,159° 31.670' W,-159.5278333,1.7 m,
05P,5,17.07.2018,11:20:00,21° 53.158' N,21.88596667,159° 31.649' W,-159.5274833,6.9 m,
06P,6,17.07.2018,11:30:00,21° 53.151' N,21.88585,159° 31.629' W,-159.52715,5.2 m,
07P,7,17.07.2018,11:45:00,21° 53.124' N,21.8854,159° 31.669' W,-159.5278167,6.0 m,
08P,8,17.07.2018,12:00:00,21° 53.120' N,21.88533333,159° 31.693' W,-159.5282167,3.1 m,
09P,9,17.07.2018,12:10:00,21° 53.110' N,21.88516667,159° 31.643' W,-159.5273833,2.1 m,
10P,10,17.07.2018,12:20:00,21° 53.101' N,21.88501667,159° 31.694' W,-159.5282333,1.7 m,
11P,11,17.07.2018,14:10:00,21° 53.182' N,21.88636667,159° 31.647' W,-159.52745,7.0 m,14 knt NE wind
12P,12,17.07.2018,14:25:00,21° 53.201' N,21.88668333,159° 31.642' W,-159.5273667,6.8 m,9 knt NE wind
13P,13,17.07.2018,14:45:00,21° 53.189' N,21.88648333,159° 31.656' W,-159.5276,6.4 m,
14P,14,17.07.2018,15:00:00,21° 53.165' N,21.88608333,159° 31.640' W,-159.5273333,6.8 m,
15P,15,17.07.2018,15:10:00,21° 53.183' N,21.88638333,159° 31.610' W,-159.5268333,5.5 m,lower salinity at bottom
16P,16,17.07.2018,15:20:00,21° 53.209' N,21.88681667,159° 31.592' W,-159.5265333,4.4 m,
17P,17,17.07.2018,15:30:00,21° 53.164' N,21.88606667,159° 31.619' W,-159.5269833,5.3 m,
18P,18,17.07.2018,15:40:00,21° 53.180' N,21.88633333,159° 31.601' W,-159.5266833,3.2 m,
19P,19,17.07.2018,15:50:00,21° 53.185' N,21.88641667,159° 31.617' W,-159.52695,5.9 m,7 knt NE wind
20P,20,17.07.2018,16:30:00,21° 53.159' N,21.88598333,159° 31.682' W,-159.5280333,5.1 m,
21.1P,21,18.07.2018,09:30:00,21° 53.167' N,21.88611667,159° 31.635' W,-159.52725,6.3 m,
22.1P,22,18.07.2018,14:15:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,"start of time series at station 22, 1st sample profile"
22.2P,,18.07.2018,17:45:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,
22.3P,23,18.07.2018,21:50:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,"lower surface O2, shallower oxycline"
22.4P,,19.07.2018,01:30:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,
22.5P,24,19.07.2018,05:50:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,2nd sample profile (night)
22.6P,25,19.07.2018,10:15:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,light profile additionally
23P,,19.07.2018,10:50:00,21° 53.141' N,21.88568333,159° 31.662' W,-159.5277,,only light profile
24P,,19.07.2018,10:55:00,21° 53.179' N,21.88631667,159° 31.601' W,-159.5266833,,only light profile
22.7P,26,19.07.2018,13:45:00,21° 53.187' N,21.88645,159° 31.641' W,-159.52735,7.0 m,
