Sample,Station,Date,Time,Depth,H2S,H2Ssd,TA,TAsd,DIC,DICsd,pH,Salinity,Temperature,Oxygen,Pressure,Total N,Phosphate,Total P,Silicate,N+N,Ammonium
1 NOMILU,0-1,,,0.5,,,,,,,,,,,,38.35,0.30,0.28,165.52,0.56,0.51
2 NOMILU,0-1,,,1.5,,,,,,,,,,,,43.73,13.55,12.51,148.06,0.26,1.00
3 NOMILU,0-1,,,2.5,,,,,,,,,,,,43.06,0.48,0.36,171.90,0.34,3.49
4 NOMILU,0-1,,,3.5,,,,,,,,,,,,46.98,0.39,0.32,177.89,0.32,5.82
5 NOMILU,0-1,,,4.5,,,,,,,,,,,,59.64,0.39,0.33,180.21,0.22,19.18
6 NOMILU,0-1,,,5.5,,,,,,,,,,,,263.86,6.13,5.89,349.02,0.10,213.40
7 NOMILU,0-1,,,6.5,,,,,,,,,,,,2554.70,66.33,62.26,1000.34,0.05,2259.59
8 NOMILU,0-1,,,7.5,,,,,,,,,,,,2159.06,64.23,53.92,995.96,0.02,1853.72
NA-01,A22.1,18.07.2018,15:00,0.5,0.0,0.0,3026.26,1.73,2595.4,,8.16,37.5,30.86,231.93,10.72,35.40,0.23,,88.16,0.08,8.79
NA-02,A22.1,18.07.2018,15:00,1.5,0.0,0.0,3021.813711,1.99,2585.4,,8.18,38.03,29.29,238.59,11.9,40.25,0.24,,100.54,0.16,6.21
NA-03,A22.1,18.07.2018,15:00,2.5,0.0,0.0,3021.8612,1.72,2589.8,,8.18,37.95,28.99,240.66,12.82,33.37,0.21,,90.55,0.28,6.24
NA-04,A22.1,18.07.2018,15:00,3.5,0.0,0.0,3033.889531,2.41,2638.4,,8.14,38.09,28.33,202.23,14.08,27.74,0.17,,78.30,0.08,3.37
NA-05,A22.1,18.07.2018,15:00,4.5,0.0,0.0,3114.821946,0.46,2819.4,,7.99,38.41,28.183,175.45,14.89,32.83,0.21,,97.48,0.17,5.04
NA-06,A22.1,18.07.2018,15:00,5.5,0.0,0.0,3174.033299,1.00,3391.1,,7.04,38.72,27.73,43.69,15.82,43.70,0.23,,108.90,0.34,14.59
NA-07,A22.1,18.07.2018,15:00,6.5,7964.3,61.7,28969.27415,138.12,32247.67,0.00,6.91,51.9,26.83,8.37,16.97,2100.54,57.37,,438.83,0.23,1975.06
NA-08,A22.5,19.07.2018,06:00,0.5,0.0,0.0,3021.751509,3.96,2625.37,1.56,8.16,38.84,26.56,190.03,10.72,27.49,0.15,,76.96,0.06,1.12
NA-09,A22.5,19.07.2018,06:00,1.5,0.0,0.0,3033.374853,4.30,2623.25,3.16,8.16,38.59,27.98,188.06,11.9,27.33,0.25,,79.86,0.13,1.68
NA-10,A22.5,19.07.2018,06:00,2.5,0.0,0.0,3020.716859,6.24,2624.825,0.31,8.14,38.56,27.94,186.25,12.82,27.12,0.19,,82.67,0.07,1.19
NA-11,A22.5,19.07.2018,06:00,3.5,0.0,0.0,3032.244866,2.79,2632.76,1.89,8.14,38.56,27.91,182.37,14.08,37.37,0.33,,85.22,0.21,13.53
NA-12,A22.5,19.07.2018,06:00,4.5,0.0,0.0,3120.956325,2.06,2835.75,0.23,7.97,38.74,27.74,51.87,14.89,37.21,0.25,,100.81,0.15,12.29
NA-13,A22.5,19.07.2018,06:00,5.5,0.0,0.0,3146.663233,1.31,2891.285,0.56,7.93,38.84,27.41,7.53,15.82,42.23,0.21,,100.34,1.05,17.03
NA-14,A22.5,19.07.2018,06:00,6.5,7042.8,136.6,26621.88601,71.13,32262.335,6.81,6.40,52.35,26.91,2.27,16.97,1353.65,2.76,,26.75,0.18,1222.70
NB-01,B12,23.02.2019,08:04,1.16,0.0,0.0,2680.401195,5.10,2349.61,4.24,,35.3,24,299.49,,,,,,,
NB-02,B12,23.02.2019,08:22,3.77,0.0,0.0,2739.478137,7.39,2595.115,0.58,,35.3,22.01,66.29,,,,,,,
NB-03,B12,23.02.2019,08:34,7.02,3434.4,33.0,14924.91472,0.33,19864.6,50.69,,39.6,22.25,8.35,,,,,,,
NB-04,B13,23.02.2019,17:06,6.99,3893.0,39.1,21408.21333,35.81,11253.30333,45.52,,35.9,22.05,7.182,,,,,,,
NB-05,B13,23.02.2019,17:18,3.77,0.0,0.0,2673.996055,0.66,2640.006667,1.87,,35.3,22.01,66.98,,,,,,,
NB-06,B13,23.02.2019,17:26,1.19,0.0,0.0,2674.36495,0.35,2326.485,1.42,,35.4,24.7,337.02,,,,,,,
